timestamp,open,high,low,close,volume,average,barCount,tick_volume,trade_count,vwap,broker,symbol
2026-03-05 21:00:00+00:00,77.6,77.76,76.62,77.04,4131.0,77.132,2912,4131.0,2912,77.132,ib,CL
2026-03-05 23:00:00+00:00,77.2,77.83,77.04,77.46,758.0,77.44,523,758.0,523,77.44,ib,CL
2026-03-06 00:00:00+00:00,77.46,77.61,76.71,76.83,1366.0,77.084,907,1366.0,907,77.084,ib,CL
2026-03-06 01:00:00+00:00,76.85,77.68,76.4,77.61,4271.0,76.952,3224,4271.0,3224,76.952,ib,CL
2026-03-06 02:00:00+00:00,77.63,77.68,77.1,77.58,2036.0,77.368,1639,2036.0,1639,77.368,ib,CL
2026-03-06 03:00:00+00:00,77.57,77.91,77.41,77.76,1693.0,77.694,1227,1693.0,1227,77.694,ib,CL
2026-03-06 04:00:00+00:00,77.74,77.82,77.54,77.79,934.0,77.648,685,934.0,685,77.648,ib,CL
2026-03-06 05:00:00+00:00,77.76,78.21,77.5,78.11,2946.0,77.849,2420,2946.0,2420,77.849,ib,CL
2026-03-06 06:00:00+00:00,78.12,78.62,77.98,78.43,3215.0,78.305,2146,3215.0,2146,78.305,ib,CL
2026-03-06 07:00:00+00:00,78.39,78.77,77.94,78.73,3994.0,78.348,2732,3994.0,2732,78.348,ib,CL
2026-03-06 08:00:00+00:00,78.71,79.23,78.49,78.81,7846.0,78.877,5492,7846.0,5492,78.877,ib,CL
2026-03-06 09:00:00+00:00,78.81,81.69,78.62,81.57,16039.0,80.438,11448,16039.0,11448,80.438,ib,CL
2026-03-06 10:00:00+00:00,81.57,81.61,80.79,81.25,14803.0,81.216,10244,14803.0,10244,81.216,ib,CL
2026-03-06 11:00:00+00:00,81.25,83.32,81.18,83.11,14993.0,82.229,10404,14993.0,10404,82.229,ib,CL
2026-03-06 12:00:00+00:00,83.11,83.61,82.52,83.1,15133.0,83.121,10710,15133.0,10710,83.121,ib,CL
2026-03-06 13:00:00+00:00,83.09,84.45,81.94,84.04,27483.0,83.156,19164,27483.0,19164,83.156,ib,CL
2026-03-06 14:00:00+00:00,84.02,85.81,83.75,84.99,27753.0,84.758,19533,27753.0,19533,84.758,ib,CL
2026-03-06 15:00:00+00:00,84.98,85.26,83.93,84.67,20045.0,84.718,13964,20045.0,13964,84.718,ib,CL
2026-03-06 16:00:00+00:00,84.68,86.1,84.23,86.04,16468.0,84.973,11473,16468.0,11473,84.973,ib,CL
2026-03-06 17:00:00+00:00,86.04,88.16,85.73,87.94,23710.0,86.938,16740,23710.0,16740,86.938,ib,CL
2026-03-06 18:00:00+00:00,87.92,88.01,85.69,87.68,21735.0,86.706,15581,21735.0,15581,86.706,ib,CL
2026-03-06 19:00:00+00:00,87.68,88.13,86.64,87.83,18268.0,87.365,13040,18268.0,13040,87.365,ib,CL
2026-03-06 20:00:00+00:00,87.83,87.87,86.99,87.4,8424.0,87.449,6351,8424.0,6351,87.449,ib,CL
2026-03-06 21:00:00+00:00,87.41,88.1,87.29,87.85,3671.0,87.764,2661,3671.0,2661,87.764,ib,CL
2026-03-08 22:00:00+00:00,91.91,105.79,91.86,102.28,20168.0,101.884,13550,20168.0,13550,101.884,ib,CL
